,date,mood,device
0,2017-10-01 17:34:13,sad,1
1,2017-10-01 12:22:52,neutral,1
2,2017-10-01 09:47:58,happy,1
3,2017-10-01 11:46:10,neutral,1
4,2017-10-01 23:04:52,sad,1
5,2017-10-01 01:35:27,neutral,1
6,2017-10-01 04:54:03,happy,1
7,2017-10-01 09:12:47,happy,1
8,2017-10-01 16:21:30,happy,1
9,2017-10-01 00:43:34,neutral,1
10,2017-10-01 22:50:49,sad,1
11,2017-10-01 06:28:23,sad,1
12,2017-10-01 12:19:40,happy,1
13,2017-10-01 10:37:45,neutral,1
14,2017-10-01 11:05:50,neutral,1
15,2017-10-01 02:27:34,sad,1
16,2017-10-01 00:56:25,sad,1
17,2017-10-01 12:03:30,sad,1
18,2017-10-01 18:47:21,sad,1
19,2017-10-01 01:14:25,happy,1
20,2017-10-01 15:22:44,neutral,1
21,2017-10-01 02:07:32,sad,1
22,2017-10-01 08:35:48,neutral,1
23,2017-10-02 02:26:03,neutral,1
24,2017-10-02 20:19:13,happy,1
25,2017-10-02 03:47:01,happy,1
26,2017-10-02 07:35:58,happy,1
27,2017-10-02 16:36:18,happy,1
28,2017-10-02 21:32:45,sad,1
29,2017-10-02 06:34:29,neutral,1
30,2017-10-02 12:46:43,sad,1
31,2017-10-02 11:36:30,neutral,1
32,2017-10-02 05:02:08,sad,1
33,2017-10-02 20:01:12,sad,1
34,2017-10-02 16:59:22,sad,1
35,2017-10-02 04:23:05,sad,1
36,2017-10-02 16:52:17,neutral,1
37,2017-10-02 15:03:54,neutral,1
38,2017-10-02 10:50:33,happy,1
39,2017-10-02 14:20:45,happy,1
40,2017-10-02 20:57:50,neutral,1
41,2017-10-02 11:13:11,happy,1
42,2017-10-02 11:35:28,neutral,1
43,2017-10-02 11:39:40,neutral,1
44,2017-10-02 12:07:08,happy,1
45,2017-10-03 22:19:15,neutral,1
46,2017-10-03 05:53:01,happy,1
47,2017-10-03 13:40:45,happy,1
48,2017-10-03 12:29:47,happy,1
49,2017-10-03 05:33:54,neutral,1
50,2017-10-03 19:45:32,neutral,1
51,2017-10-03 14:39:28,happy,1
52,2017-10-03 14:35:23,sad,1
53,2017-10-03 15:05:39,neutral,1
54,2017-10-03 15:35:09,happy,1
55,2017-10-03 12:58:42,sad,1
56,2017-10-03 01:49:14,sad,1
57,2017-10-04 03:30:28,happy,1
58,2017-10-04 20:32:21,happy,1
59,2017-10-04 19:24:31,sad,1
60,2017-10-04 23:32:47,neutral,1
61,2017-10-04 20:19:22,neutral,1
62,2017-10-04 21:54:54,neutral,1
63,2017-10-04 10:27:52,sad,1
64,2017-10-04 17:19:54,neutral,1
65,2017-10-04 00:53:58,happy,1
66,2017-10-04 09:44:11,neutral,1
67,2017-10-04 20:16:33,neutral,1
68,2017-10-04 13:26:20,sad,1
